Source,Target,Weight,Type
Ferguson_Roman_Republic_Vol_2_Edinburgh,Ferguson_biographical_sketch,3,undirected
Ferguson_Roman_Republic_Vol_2_Edinburgh,Ferguson_Roman_Republic_Vol_1_London,6,undirected
Ferguson_Roman_Republic_Vol_2_Edinburgh,Hume_History_of_England_Caesar_vol_1,1,undirected
Ferguson_Roman_Republic_Vol_2_Edinburgh,Hume_History_of_England_Tudor_vol_1_4709,2,undirected
Ferguson_Sermon_preached_in_the_ersh,Ferguson_letters_edited_w_npp,1,undirected
Ferguson_Sermon_preached_in_the_ersh,Ferguson_T012677_3_Pamphlet_Dr_Price,3,undirected
Ferguson_Sermon_preached_in_the_ersh,Hume_essays_moral_political_1741,2,undirected
Ferguson_Sermon_preached_in_the_ersh,Hume_Petition_Bellmen,1,undirected
Ferguson_T012677_3_Pamphlet_Dr_Price,Ferguson_Sermon_preached_in_the_ersh,3,undirected
Ferguson_T012677_3_Pamphlet_Dr_Price,Ferguson_T114601_19_Principles_Moral_Political,3,undirected
Ferguson_T012677_3_Pamphlet_Dr_Price,Hume_essays_moral_political_1741,2,undirected
Ferguson_T012677_3_Pamphlet_Dr_Price,Hume_Political_Discourses,1,undirected
Ferguson_T076224_16_Inst_Moral_Phil,Ferguson_1767_Civil_Society_4610,1,undirected
Ferguson_T076224_16_Inst_Moral_Phil,Ferguson_Analysis_of_pneumatics_and_moral_philosophy,3,undirected
Ferguson_T076224_16_Inst_Moral_Phil,Ferguson_Manuscripts_edited,1,undirected
Ferguson_T076224_16_Inst_Moral_Phil,Ferguson_Notes_on_the_enquiry_into_General_Sir_William_Howe_s_conduct_in_the_American_War,2,undirected
Ferguson_T076224_16_Inst_Moral_Phil,Ferguson_T114601_19_Principles_Moral_Political,4,undirected
Ferguson_T076224_16_Inst_Moral_Phil,Ferguson_T114601_29_Principles_Moral_Political,2,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_1767_Civil_Society_4610,2,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_Analysis_of_pneumatics_and_moral_philosophy,2,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_dialogues_from_manuscript_edited,2,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_Manuscripts_edited,4,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_minutes_of_the_life,2,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_Notes_on_the_enquiry_into_General_Sir_William_Howe_s_conduct_in_the_American_War,1,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_Of_Mans_Progressive_Nature_Excerpt,1,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_T012677_3_Pamphlet_Dr_Price,3,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_T076224_16_Inst_Moral_Phil,4,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_T114601_29_Principles_Moral_Political,6,undirected
Ferguson_T114601_29_Principles_Moral_Political,Ferguson_1767_Civil_Society_4610,4,undirected
Ferguson_T114601_29_Principles_Moral_Political,Ferguson_Analysis_of_pneumatics_and_moral_philosophy,1,undirected
Ferguson_T114601_29_Principles_Moral_Political,Ferguson_Manuscripts_edited,5,undirected
Ferguson_T114601_29_Principles_Moral_Political,Ferguson_minutes_of_the_life,3,undirected
Ferguson_T114601_29_Principles_Moral_Political,Ferguson_Of_Mans_Progressive_Nature_Excerpt,3,undirected
Ferguson_T114601_29_Principles_Moral_Political,Ferguson_T076224_16_Inst_Moral_Phil,2,undirected
Ferguson_T114601_29_Principles_Moral_Political,Ferguson_T114601_19_Principles_Moral_Political,6,undirected
Hume_A Letter from a Gentleman,Hume_Dialogues_Concerning_Natural_Religion,2,undirected
Hume_A Letter from a Gentleman,Hume_Philosophical_Essays_Human_Understanding,3,undirected
Hume_A Letter from a Gentleman,Hume_Treatise_Human_Nature_vol_1,1,undirected
Hume_An_Abstract_of_a_book,Hume_Philosophical_Essays_Human_Understanding,3,undirected
Hume_An_Abstract_of_a_book,Hume_Treatise_Human_Nature_vol_1,2,undirected
Hume_An_Abstract_of_a_book,Hume_Treatise_human_nature_vol_2,1,undirected
Hume_An_Enquiry_Principal_Morals,Ferguson_letters_edited_w_npp,1,undirected
Hume_An_Enquiry_Principal_Morals,Hume_Archibald_Stewart,2,undirected
Hume_An_Enquiry_Principal_Morals,Hume_Dialogues_Concerning_Natural_Religion,1,undirected
Hume_An_Enquiry_Principal_Morals,Hume_essays_moral_political_1741,4,undirected
Hume_An_Enquiry_Principal_Morals,Hume_Four_Dissertations,6,undirected
Hume_An_Enquiry_Principal_Morals,Hume_Life_of_David_Hume-Smith-Removed,2,undirected
Hume_An_Enquiry_Principal_Morals,Hume_Original Contract_passive_obedience_and_parties,3,undirected
Hume_An_Enquiry_Principal_Morals,Hume_Political_Discourses,2,undirected
Hume_An_Enquiry_Principal_Morals,Hume_Treatise_Human_Nature_vol_3,2,undirected
Hume_An_Enquiry_Principal_Morals,Hume_two_essays_on_suicide_immorality_soul,2,undirected
Hume_Archibald_Stewart,Hume_An_Enquiry_Principal_Morals,2,undirected
Hume_Archibald_Stewart,Hume_essays_moral_political_1741,1,undirected
Hume_Archibald_Stewart,Hume_Political_Discourses,3,undirected
Hume_Dialogues_Concerning_Natural_Religion,Hume_A Letter from a Gentleman,2,undirected
Hume_Dialogues_Concerning_Natural_Religion,Hume_An_Enquiry_Principal_Morals,1,undirected
Hume_Dialogues_Concerning_Natural_Religion,Hume_Four_Dissertations,2,undirected
Hume_Dialogues_Concerning_Natural_Religion,Hume_Philosophical_Essays_Human_Understanding,4,undirected
Hume_Dialogues_Concerning_Natural_Religion,Hume_two_essays_on_suicide_immorality_soul,1,undirected
Hume_essay_on_national_chars,Hume_essays_moral_political_1741,2,undirected
Hume_essay_on_national_chars,Hume_Four_Dissertations,1,undirected
Hume_essay_on_national_chars,Hume_Political_Discourses,3,undirected
Hume_essays_moral_political_1741,Ferguson_1756_Reflection_on_militia,2,undirected
Hume_essays_moral_political_1741,Ferguson_1757_Morality_stage-plays,3,undirected
Hume_essays_moral_political_1741,Ferguson_history_eb,1,undirected
Hume_essays_moral_political_1741,Ferguson_letters_edited_w_npp,3,undirected
Hume_essays_moral_political_1741,Ferguson_Sermon_preached_in_the_ersh,2,undirected
Hume_essays_moral_political_1741,Ferguson_T012677_3_Pamphlet_Dr_Price,2,undirected
Hume_essays_moral_political_1741,Hume_An_Enquiry_Principal_Morals,4,undirected
Hume_essays_moral_political_1741,Hume_Archibald_Stewart,1,undirected
Hume_essays_moral_political_1741,Hume_essay_on_national_chars,2,undirected
Hume_essays_moral_political_1741,Hume_Four_Dissertations,3,undirected
Hume_essays_moral_political_1741,Hume_Original Contract_passive_obedience_and_parties,2,undirected
Hume_essays_moral_political_1741,Hume_Political_Discourses,6,undirected
Hume_essays_moral_political_1741,sister_peg_checked,1,undirected
Hume_Four_Dissertations,Ferguson_1757_Morality_stage-plays,2,undirected
Hume_Four_Dissertations,Hume_An_Enquiry_Principal_Morals,6,undirected
Hume_Four_Dissertations,Hume_Dialogues_Concerning_Natural_Religion,2,undirected
Hume_Four_Dissertations,Hume_essay_on_national_chars,1,undirected
Hume_Four_Dissertations,Hume_essays_moral_political_1741,3,undirected
Hume_Four_Dissertations,Hume_Life_of_David_Hume-Smith-Removed,1,undirected
Hume_Four_Dissertations,Hume_Philosophical_Essays_Human_Understanding,1,undirected
Hume_Four_Dissertations,Hume_Political_Discourses,1,undirected
Hume_Four_Dissertations,Hume_two_essays_on_suicide_immorality_soul,3,undirected
Hume_History_of_England_Caesar_vol_1,Ferguson_Roman_Republic_Vol_1_London,1,undirected
Hume_History_of_England_Caesar_vol_1,Ferguson_Roman_Republic_Vol_2_Edinburgh,1,undirected
Hume_History_of_England_Caesar_vol_1,Hume_History_of_England_Caesar_vol_2,6,undirected
Hume_History_of_England_Caesar_vol_1,Hume_History_of_England_Tudor_vol_1_4709,3,undirected
Hume_History_of_England_Caesar_vol_1,Hume_History_of_England_Tudor_vol_2_1710,2,undirected
Hume_History_of_England_Caesar_vol_2,Hume_History_of_England_Caesar_vol_1,6,undirected
Hume_History_of_England_Caesar_vol_2,Hume_History_of_England_Tudor_vol_1_4709,4,undirected
Hume_History_of_England_Caesar_vol_2,Hume_History_of_England_Tudor_vol_2_1710,3,undirected
Hume_History_of_England_Tudor_vol_1_4709,Ferguson_Roman_Republic_Vol_2_Edinburgh,2,undirected
Hume_History_of_England_Tudor_vol_1_4709,Hume_History_of_England_Caesar_vol_1,3,undirected
Hume_History_of_England_Tudor_vol_1_4709,Hume_History_of_England_Caesar_vol_2,4,undirected
Hume_History_of_England_Tudor_vol_1_4709,Hume_History_of_England_Tudor_vol_2_1710,6,undirected
Hume_History_of_England_Tudor_vol_2_1710,Hume_History_of_England_Caesar_vol_1,2,undirected
Hume_History_of_England_Tudor_vol_2_1710,Hume_History_of_England_Caesar_vol_2,3,undirected
Hume_History_of_England_Tudor_vol_2_1710,Hume_History_of_England_Tudor_vol_1_4709,6,undirected
Hume_History_of_England_Tudor_vol_2_1710,sister_peg_checked,2,undirected
Hume_Life_of_David_Hume-Smith-Removed,Ferguson_letters_edited_w_npp,3,undirected
Hume_Life_of_David_Hume-Smith-Removed,Hume_An_Enquiry_Principal_Morals,2,undirected
Hume_Life_of_David_Hume-Smith-Removed,Hume_Four_Dissertations,1,undirected
Hume_Original Contract_passive_obedience_and_parties,Hume_An_Enquiry_Principal_Morals,3,undirected
Hume_Original Contract_passive_obedience_and_parties,Hume_essays_moral_political_1741,2,undirected
Hume_Original Contract_passive_obedience_and_parties,Hume_Political_Discourses,1,undirected
Hume_Petition_Bellmen,Ferguson_Analysis_of_pneumatics_and_moral_philosophy,3,undirected
Hume_Petition_Bellmen,Ferguson_letters_edited_w_npp,2,undirected
Hume_Petition_Bellmen,Ferguson_Sermon_preached_in_the_ersh,1,undirected
Hume_Philosophical_Essays_Human_Understanding,Hume_A Letter from a Gentleman,3,undirected
Hume_Philosophical_Essays_Human_Understanding,Hume_An_Abstract_of_a_book,3,undirected
Hume_Philosophical_Essays_Human_Understanding,Hume_Dialogues_Concerning_Natural_Religion,4,undirected
Hume_Philosophical_Essays_Human_Understanding,Hume_Four_Dissertations,1,undirected
Hume_Philosophical_Essays_Human_Understanding,Hume_Treatise_Human_Nature_vol_1,5,undirected
Hume_Philosophical_Essays_Human_Understanding,Hume_Treatise_human_nature_vol_2,1,undirected
Hume_Philosophical_Essays_Human_Understanding,Hume_Treatise_Human_Nature_vol_3,4,undirected
Hume_Political_Discourses,Ferguson_1756_Reflection_on_militia,1,undirected
Hume_Political_Discourses,Ferguson_history_eb,3,undirected
Hume_Political_Discourses,Ferguson_letters_edited_w_npp,2,undirected
Hume_Political_Discourses,Ferguson_T012677_3_Pamphlet_Dr_Price,1,undirected
Hume_Political_Discourses,Hume_An_Enquiry_Principal_Morals,2,undirected
Hume_Political_Discourses,Hume_Archibald_Stewart,3,undirected
Hume_Political_Discourses,Hume_essay_on_national_chars,3,undirected
Hume_Political_Discourses,Hume_essays_moral_political_1741,6,undirected
Hume_Political_Discourses,Hume_Four_Dissertations,1,undirected
Hume_Political_Discourses,Hume_Original Contract_passive_obedience_and_parties,1,undirected
Hume_Treatise_Human_Nature_vol_1,Hume_A Letter from a Gentleman,1,undirected
Hume_Treatise_Human_Nature_vol_1,Hume_An_Abstract_of_a_book,2,undirected
Hume_Treatise_Human_Nature_vol_1,Hume_Philosophical_Essays_Human_Understanding,5,undirected
Hume_Treatise_Human_Nature_vol_1,Hume_Treatise_human_nature_vol_2,6,undirected
Hume_Treatise_Human_Nature_vol_1,Hume_Treatise_Human_Nature_vol_3,1,undirected
Hume_Treatise_human_nature_vol_2,Hume_An_Abstract_of_a_book,1,undirected
Hume_Treatise_human_nature_vol_2,Hume_Philosophical_Essays_Human_Understanding,1,undirected
Hume_Treatise_human_nature_vol_2,Hume_Treatise_Human_Nature_vol_1,6,undirected
Hume_Treatise_human_nature_vol_2,Hume_Treatise_Human_Nature_vol_3,5,undirected
Hume_Treatise_Human_Nature_vol_3,Hume_An_Enquiry_Principal_Morals,2,undirected
Hume_Treatise_Human_Nature_vol_3,Hume_Philosophical_Essays_Human_Understanding,4,undirected
Hume_Treatise_Human_Nature_vol_3,Hume_Treatise_Human_Nature_vol_1,1,undirected
Hume_Treatise_Human_Nature_vol_3,Hume_Treatise_human_nature_vol_2,5,undirected
Hume_two_essays_on_suicide_immorality_soul,Hume_An_Enquiry_Principal_Morals,2,undirected
Hume_two_essays_on_suicide_immorality_soul,Hume_Dialogues_Concerning_Natural_Religion,1,undirected
Hume_two_essays_on_suicide_immorality_soul,Hume_Four_Dissertations,3,undirected
sister_peg_checked,Ferguson_letters_edited_w_npp,3,undirected
sister_peg_checked,Hume_essays_moral_political_1741,1,undirected
sister_peg_checked,Hume_History_of_England_Tudor_vol_2_1710,2,undirected
